headline	date	url	order	number_words	newspaper
Decisão «difícil» mantém corredores na estrada	2001-06-08	https://arquivo.pt/noFrame/replay/20010608064219/http://www.publico.pt/	9	6	PUBLICO
Mais camas convencionadas para toxicodependentes	2001-06-08	https://arquivo.pt/noFrame/replay/20010608064219/http://www.publico.pt/	5	5	PUBLICO
Fogo junto ao ITN controlado	2001-06-08	https://arquivo.pt/noFrame/replay/20010608064219/http://www.publico.pt/	4	5	PUBLICO
McVeigh não vai recorrer para o Supremo	2001-06-08	https://arquivo.pt/noFrame/replay/20010608064219/http://www.publico.pt/	3	7	PUBLICO
Cobrança de IRC 47 milhões de contos abaixo do previsto em 2001	2001-06-08	https://arquivo.pt/noFrame/replay/20010608064219/http://www.publico.pt/	0	12	PUBLICO
PSD e PP querem novas audições sobre FPS	2001-06-08	https://arquivo.pt/noFrame/replay/20010608064219/http://www.publico.pt/	6	8	PUBLICO
Barco do aborto em Lisboa?	2001-06-21	https://arquivo.pt/noFrame/replay/20010621231247/http://www.expresso.pt/	13	5	EXPRESSO
Pina Moura recebe solidariedade do Governo	2001-06-21	https://arquivo.pt/noFrame/replay/20010621231247/http://www.expresso.pt/	0	6	EXPRESSO
Seixas da Costa desvaloriza propostas de Savimbi	2001-06-21	https://arquivo.pt/noFrame/replay/20010621231247/http://www.expresso.pt/	12	7	EXPRESSO
Coroado revela ameaças de morte	2001-06-21	https://arquivo.pt/noFrame/replay/20010621231247/http://www.expresso.pt/	10	5	EXPRESSO
Indícios de corrupção na aviação civil	2001-06-21	https://arquivo.pt/noFrame/replay/20010621231247/http://www.expresso.pt/	9	6	EXPRESSO
Empresários propõem nova «ambição» para Portugal	2001-06-21	https://arquivo.pt/noFrame/replay/20010621231247/http://www.expresso.pt/	5	6	EXPRESSO
Sete economistas dizem «não» a Pina Moura	2001-06-21	https://arquivo.pt/noFrame/replay/20010621231247/http://www.expresso.pt/	6	7	EXPRESSO
Graça Machel  fala sobre direitos da criança	2001-06-21	https://arquivo.pt/noFrame/replay/20010621231247/http://www.expresso.pt/	4	8	EXPRESSO
Xanana Gusmão redescobre fotografia e jornalismo	2001-06-21	https://arquivo.pt/noFrame/replay/20010621231247/http://www.expresso.pt/	3	6	EXPRESSO
Bruxelas defende cota máxima no Alqueva	2001-06-21	https://arquivo.pt/noFrame/replay/20010621231247/http://www.expresso.pt/	2	6	EXPRESSO
Simão Sabrosa e Vitorino apoiam João Soares	2001-06-21	https://arquivo.pt/noFrame/replay/20010621231247/http://www.expresso.pt/	14	7	EXPRESSO
Bayão Horta perto da Cimpor	2001-06-21	https://arquivo.pt/noFrame/replay/20010621231247/http://www.expresso.pt/	8	5	EXPRESSO
Soares tira carros e põe jovens no centro da cidade	2001-06-21	https://arquivo.pt/noFrame/replay/20010621231247/http://www.expresso.pt/	1	10	EXPRESSO
Portugueses descobrem novo vírus da sida	2001-06-25	https://arquivo.pt/noFrame/replay/20010625042747/http://www.expresso.pt/	1	6	EXPRESSO
PJ sem provas no caso Moderna	2001-06-25	https://arquivo.pt/noFrame/replay/20010625042747/http://www.expresso.pt/	2	6	EXPRESSO
Orçamentos para acessibilidades questionados no Parlamento	2001-06-27	https://arquivo.pt/noFrame/replay/20010627025854/http://www.publico.pt/	9	6	PUBLICO
Capoulas Santos confiante no fim do embargo à carne bovina até Julho	2001-06-27	https://arquivo.pt/noFrame/replay/20010627183446/http://www.publico.pt/	3	12	PUBLICO
Saúde derrapa mais 30 milhões de contos	2001-06-27	https://arquivo.pt/noFrame/replay/20010627183446/http://www.publico.pt/	4	7	PUBLICO
Ponte metálica apresenta fissuras em três pilares	2001-06-27	https://arquivo.pt/noFrame/replay/20010627183446/http://www.publico.pt/	5	7	PUBLICO
Tribunal anula dossier do tráfico de armas para Angola	2001-06-27	https://arquivo.pt/noFrame/replay/20010627183446/http://www.publico.pt/	6	9	PUBLICO
Luís Filipe Vieira critica Fernando Meira	2001-06-27	https://arquivo.pt/noFrame/replay/20010627183446/http://www.publico.pt/	7	6	PUBLICO
Magistrados devem defender-se de ataques pessoais	2001-06-27	https://arquivo.pt/noFrame/replay/20010627030052/http://www.expresso.pt/	7	6	EXPRESSO
Leis europeias juntas em base de dados	2001-06-27	https://arquivo.pt/noFrame/replay/20010627030052/http://www.expresso.pt/	6	7	EXPRESSO
Emigrante português ferido não foi roubado	2001-06-27	https://arquivo.pt/noFrame/replay/20010627030052/http://www.expresso.pt/	5	6	EXPRESSO
Guterres disposto a «ir à luta»	2001-06-27	https://arquivo.pt/noFrame/replay/20010627030052/http://www.expresso.pt/	4	6	EXPRESSO
Paulo Portas decide hoje se apresenta moção de censura	2001-06-27	https://arquivo.pt/noFrame/replay/20010627030052/http://www.expresso.pt/	3	9	EXPRESSO
Jornalistas cancelam boicote à SIC-Notícias	2001-06-27	https://arquivo.pt/noFrame/replay/20010627030052/http://www.expresso.pt/	1	5	EXPRESSO
Governo desrespeita a sua própria palavra	2001-06-27	https://arquivo.pt/noFrame/replay/20010627030052/http://www.expresso.pt/	0	6	EXPRESSO
Galatasaray aceita proposta do Marselha	2001-06-27	https://arquivo.pt/noFrame/replay/20010627183446/http://www.publico.pt/	9	5	PUBLICO
Cortes no recrutamento militar podem ser suspensos	2001-06-27	https://arquivo.pt/noFrame/replay/20010627025854/http://www.publico.pt/	0	7	PUBLICO
Clube e auditores negam pedido de falência	2001-06-27	https://arquivo.pt/noFrame/replay/20010627183446/http://www.publico.pt/	8	7	PUBLICO
Gravuras descobertas no vale do Sabor	2001-06-27	https://arquivo.pt/noFrame/replay/20010627025854/http://www.publico.pt/	2	6	PUBLICO
